Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
93,670,96,Jul 21,PIT,@,CIN,W3-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.379,.489,.868,3,.78,-0.079,1.09,-0.07%,-0.79,CF
94,671,97,Jul 22,PIT,@,WSN,W6-5,CG,5,5,2,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,.307,.379,.504,.883,3,.43,0.322,.47,0.21%,3.11,CF
95,672,98,Jul 23,PIT,@,WSN,W5-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.307,.378,.501,.879,3,.42,-0.002,.45,0.00%,-0.01,CF
96,673,99,Jul 24,PIT,@,WSN,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.374,.496,.870,3,.52,-0.056,.52,-0.03%,-0.83,CF
97,674,100,Jul 25,PIT,@,WSN,L7-9,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.300,.372,.491,.863,3,1.64,-0.109,1.65,-0.07%,-0.62,CF
98,675,101,Jul 26,PIT,@,MIA,L0-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.371,.488,.859,3,.82,-0.049,.78,-0.03%,-0.33,CF
99,676,102,Jul 27,PIT,@,MIA,W7-4,CG,5,4,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.302,.374,.493,.867,3,.74,0.053,.70,0.03%,0.65,CF
100,677,103,Jul 28,PIT,@,MIA,L2-3,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.373,.492,.865,9,1.53,-0.037,1.53,-0.02%,-0.15,PH
101,678,104,Jul 29,PIT,,STL,W9-2,CG,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.302,.373,.491,.864,3,.62,0.088,.98,0.08%,0.89,CF
102,679,105,Jul 30 (1),PIT,,STL,W2-1,CG(11),5,4,1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,.302,.374,.491,.865,3,1.56,-0.084,2.58,-0.08%,-0.29,CF
103,680,106,Jul 30 (2),PIT,,STL,W6-0,CG,5,5,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.303,.374,.497,.871,3,.59,0.047,.97,0.05%,1.18,CF
104,681,107,Jul 31,PIT,,STL,W5-4,CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.301,.371,.494,.864,3,1.82,-0.072,2.98,-0.07%,-0.59,CF
105,682,108,Aug 1,PIT,,STL,L0-13,GS-8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.299,.370,.491,.862,3,.42,-0.003,.67,0.00%,0.19,CF
106,683,109,Aug 2,PIT,,COL,L2-4,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.301,.371,.494,.865,3,1.10,0.086,1.08,0.05%,0.76,CF
107,684,110,Aug 3,PIT,,COL,W5-2,CG,4,3,1,2,1,0,0,1,1,0,1,0,0,0,0,0,2,0,.304,.375,.498,.872,3,.83,0.125,.84,0.08%,0.93,CF
108,685,111,Aug 4,PIT,,COL,W5-1,CG,4,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.307,.378,.499,.877,3,.77,0.132,.77,0.08%,1.33,CF
109,686,112,Aug 6,PIT,,MIA,W4-3,CG,4,3,1,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.309,.381,.502,.884,3,1.48,0.181,1.40,0.10%,2.06,CF
110,687,113,Aug 7,PIT,,MIA,W4-2,CG,4,3,1,2,0,0,1,1,1,0,1,0,0,0,0,0,1,1,.312,.384,.511,.895,3,.79,0.181,.77,0.11%,1.87,CF
111,688,114,Aug 8,PIT,,MIA,W5-4,7-8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.386,.512,.898,2,3.91,0.144,3.64,0.08%,0.85,PH
112,689,115,Aug 9,PIT,@,COL,L1-10,GS-6,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.387,.512,.899,3,1.02,0.047,.87,0.02%,0.11,CF
113,690,116,Aug 10,PIT,@,COL,L4-6,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.311,.385,.507,.892,3,1.57,-0.119,1.44,-0.07%,-0.83,CF
114,691,117,Aug 11,PIT,@,COL,L2-3,CG,4,4,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.313,.386,.507,.893,3,1.18,0.081,1.12,0.05%,1.05,CF
115,692,118,Aug 13,PIT,@,STL,L3-4,CG(14),6,5,1,2,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.314,.388,.513,.900,3,1.93,0.189,3.10,0.18%,1.41,CF
116,693,119,Aug 14,PIT,@,STL,W5-1,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.316,.389,.513,.901,3,.23,-0.006,.39,-0.01%,-0.33,CF
117,694,120,Aug 15,PIT,@,STL,L5-6,CG(12),6,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.312,.386,.507,.893,3,1.38,-0.131,2.34,-0.13%,-0.84,CF
118,695,121,Aug 16,PIT,,ARI,W6-2,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.314,.387,.509,.896,3,.88,0.094,1.13,0.07%,0.78,CF
119,696,122,Aug 17,PIT,,ARI,L5-15,CG,5,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.318,.391,.511,.902,3,.43,0.020,.50,0.01%,0.69,CF
120,697,123,Aug 18,PIT,,ARI,L2-4,CG(16),7,4,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,.315,.391,.507,.898,3,2.19,-0.119,2.64,-0.09%,-0.42,CF
121,698,124,Aug 19,PIT,@,SDP,W3-1,CG,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.317,.394,.508,.902,3,.45,0.048,.54,0.04%,0.34,CF
122,699,125,Aug 20,PIT,@,SDP,W8-1,CG,5,5,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,.316,.392,.509,.901,3,.61,0.062,.72,0.04%,0.98,CF
123,700,126,Aug 21,PIT,@,SDP,L1-2,CG,4,2,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.319,.395,.511,.906,3,.90,0.044,1.10,0.03%,0.66,CF
124,701,127,Aug 22,PIT,@,SFG,W10-5,GS-8,5,3,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.321,.399,.512,.911,3,.97,0.170,1.23,0.13%,1.81,CF
125,702,128,Aug 23,PIT,@,SFG,W3-1,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.323,.401,.513,.914,3,.74,-0.015,.90,-0.01%,-0.24,CF
126,703,129,Aug 24,PIT,@,SFG,L3-6,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.321,.400,.510,.910,3,1.38,-0.104,1.60,-0.07%,-0.85,CF
127,704,130,Aug 25,PIT,@,SFG,L0-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.399,.507,.907,3,.63,0.054,.77,0.04%,-0.11,CF
128,705,131,Aug 27,PIT,,MIL,L6-7,CG,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.322,.399,.508,.908,3,1.38,0.068,1.63,0.05%,-0.28,CF
